2025-06-03 11:02:36,134 [F5] [INFO] [SPLIT] KRW-CTC_label.parquet → KRW-CTC_train.parquet, shape=(6153, 86), dist={0: 3647, -1: 1625, 1: 881}
2025-06-03 11:02:36,152 [F5] [INFO] [SPLIT] KRW-CTC_label.parquet → KRW-CTC_valid.parquet, shape=(1758, 86), dist={0: 1133, -1: 381, 1: 244}
2025-06-03 11:02:36,167 [F5] [INFO] [SPLIT] KRW-CTC_label.parquet → KRW-CTC_test.parquet, shape=(879, 86), dist={0: 507, -1: 239, 1: 133}
2025-06-03 11:02:36,204 [F5] [INFO] [SPLIT] KRW-DOT_label.parquet → KRW-DOT_train.parquet, shape=(4606, 86), dist={0: 2800, -1: 1224, 1: 582}
2025-06-03 11:02:36,220 [F5] [INFO] [SPLIT] KRW-DOT_label.parquet → KRW-DOT_valid.parquet, shape=(1316, 86), dist={0: 965, -1: 256, 1: 95}
2025-06-03 11:02:36,233 [F5] [INFO] [SPLIT] KRW-DOT_label.parquet → KRW-DOT_test.parquet, shape=(659, 86), dist={0: 487, -1: 92, 1: 80}
2025-06-03 11:02:36,265 [F5] [INFO] [SPLIT] KRW-DRIFT_label.parquet → KRW-DRIFT_train.parquet, shape=(4298, 86), dist={1: 1900, -1: 1503, 0: 895}
2025-06-03 11:02:36,279 [F5] [INFO] [SPLIT] KRW-DRIFT_label.parquet → KRW-DRIFT_valid.parquet, shape=(1228, 86), dist={0: 436, -1: 425, 1: 367}
2025-06-03 11:02:36,290 [F5] [INFO] [SPLIT] KRW-DRIFT_label.parquet → KRW-DRIFT_test.parquet, shape=(614, 86), dist={0: 336, 1: 158, -1: 120}
2025-06-03 11:02:36,319 [F5] [INFO] [SPLIT] KRW-EOS_label.parquet → KRW-EOS_train.parquet, shape=(3923, 86), dist={1: 1991, -1: 1379, 0: 553}
2025-06-03 11:02:36,332 [F5] [INFO] [SPLIT] KRW-EOS_label.parquet → KRW-EOS_valid.parquet, shape=(1121, 86), dist={1: 434, -1: 410, 0: 277}
2025-06-03 11:02:36,342 [F5] [INFO] [SPLIT] KRW-EOS_label.parquet → KRW-EOS_test.parquet, shape=(561, 86), dist={0: 222, 1: 200, -1: 139}
2025-06-03 11:02:36,376 [F5] [INFO] [SPLIT] KRW-GAS_label.parquet → KRW-GAS_train.parquet, shape=(5089, 86), dist={0: 2737, 1: 1210, -1: 1142}
2025-06-03 11:02:36,391 [F5] [INFO] [SPLIT] KRW-GAS_label.parquet → KRW-GAS_valid.parquet, shape=(1454, 86), dist={0: 977, -1: 256, 1: 221}
2025-06-03 11:02:36,415 [F5] [INFO] [SPLIT] KRW-GAS_label.parquet → KRW-GAS_test.parquet, shape=(728, 86), dist={0: 485, 1: 156, -1: 87}
2025-06-03 11:02:36,452 [F5] [INFO] [SPLIT] KRW-INJ_label.parquet → KRW-INJ_train.parquet, shape=(4315, 86), dist={1: 2063, -1: 1480, 0: 772}
2025-06-03 11:02:36,467 [F5] [INFO] [SPLIT] KRW-INJ_label.parquet → KRW-INJ_valid.parquet, shape=(1233, 86), dist={1: 453, -1: 440, 0: 340}
2025-06-03 11:02:36,478 [F5] [INFO] [SPLIT] KRW-INJ_label.parquet → KRW-INJ_test.parquet, shape=(617, 86), dist={1: 271, -1: 185, 0: 161}
2025-06-03 11:02:36,516 [F5] [INFO] [SPLIT] KRW-JUP_label.parquet → KRW-JUP_train.parquet, shape=(4022, 86), dist={1: 1511, -1: 1432, 0: 1079}
2025-06-03 11:02:36,533 [F5] [INFO] [SPLIT] KRW-JUP_label.parquet → KRW-JUP_valid.parquet, shape=(1149, 86), dist={1: 415, -1: 383, 0: 351}
2025-06-03 11:02:36,547 [F5] [INFO] [SPLIT] KRW-JUP_label.parquet → KRW-JUP_test.parquet, shape=(575, 86), dist={1: 231, 0: 211, -1: 133}
2025-06-03 11:02:36,590 [F5] [INFO] [SPLIT] KRW-KAITO_label.parquet → KRW-KAITO_train.parquet, shape=(3145, 86), dist={1: 1891, -1: 1110, 0: 144}
2025-06-03 11:02:36,606 [F5] [INFO] [SPLIT] KRW-KAITO_label.parquet → KRW-KAITO_valid.parquet, shape=(898, 86), dist={1: 433, -1: 382, 0: 83}
2025-06-03 11:02:36,617 [F5] [INFO] [SPLIT] KRW-KAITO_label.parquet → KRW-KAITO_test.parquet, shape=(450, 86), dist={1: 213, -1: 189, 0: 48}
2025-06-03 11:02:36,643 [F5] [INFO] [SPLIT] KRW-LAYER_label.parquet → KRW-LAYER_train.parquet, shape=(3163, 86), dist={1: 1317, -1: 1128, 0: 718}
2025-06-03 11:02:36,654 [F5] [INFO] [SPLIT] KRW-LAYER_label.parquet → KRW-LAYER_valid.parquet, shape=(903, 86), dist={0: 332, -1: 307, 1: 264}
2025-06-03 11:02:36,665 [F5] [INFO] [SPLIT] KRW-LAYER_label.parquet → KRW-LAYER_test.parquet, shape=(453, 86), dist={0: 171, 1: 146, -1: 136}
2025-06-03 11:02:36,696 [F5] [INFO] [SPLIT] KRW-LINK_label.parquet → KRW-LINK_train.parquet, shape=(3550, 86), dist={0: 1676, -1: 1267, 1: 607}
2025-06-03 11:02:36,710 [F5] [INFO] [SPLIT] KRW-LINK_label.parquet → KRW-LINK_valid.parquet, shape=(1014, 86), dist={0: 565, -1: 311, 1: 138}
2025-06-03 11:02:36,722 [F5] [INFO] [SPLIT] KRW-LINK_label.parquet → KRW-LINK_test.parquet, shape=(508, 86), dist={0: 287, -1: 132, 1: 89}
2025-06-03 11:02:36,753 [F5] [INFO] [SPLIT] KRW-MASK_label.parquet → KRW-MASK_train.parquet, shape=(3234, 86), dist={1: 2038, -1: 986, 0: 210}
2025-06-03 11:02:36,766 [F5] [INFO] [SPLIT] KRW-MASK_label.parquet → KRW-MASK_valid.parquet, shape=(924, 86), dist={1: 647, -1: 263, 0: 14}
2025-06-03 11:02:36,776 [F5] [INFO] [SPLIT] KRW-MASK_label.parquet → KRW-MASK_test.parquet, shape=(463, 86), dist={1: 238, -1: 163, 0: 62}
