2025-05-29 18:14:13,409 [INFO] [SPLIT] KRW-ATOM_label.parquet → KRW-ATOM_test.parquet, shape=(12964, 44), dist={0: 12299, -1: 376, 1: 289}
2025-05-29 18:14:13,663 [INFO] [SPLIT] KRW-AUCTION_label.parquet → KRW-AUCTION_train.parquet, shape=(90838, 44), dist={0: 57354, -1: 17792, 1: 15692}
2025-05-29 18:14:13,721 [INFO] [SPLIT] KRW-AUCTION_label.parquet → KRW-AUCTION_valid.parquet, shape=(25953, 44), dist={0: 23075, -1: 1911, 1: 967}
2025-05-29 18:14:13,756 [INFO] [SPLIT] KRW-AUCTION_label.parquet → KRW-AUCTION_test.parquet, shape=(12978, 44), dist={0: 12515, -1: 315, 1: 148}
2025-05-29 18:14:14,002 [INFO] [SPLIT] KRW-AXS_label.parquet → KRW-AXS_train.parquet, shape=(90875, 44), dist={0: 78860, 1: 6086, -1: 5929}
2025-05-29 18:14:14,062 [INFO] [SPLIT] KRW-AXS_label.parquet → KRW-AXS_valid.parquet, shape=(25964, 44), dist={0: 21499, -1: 2246, 1: 2219}
2025-05-29 18:14:14,099 [INFO] [SPLIT] KRW-AXS_label.parquet → KRW-AXS_test.parquet, shape=(12983, 44), dist={0: 11932, -1: 529, 1: 522}
2025-05-29 18:14:14,355 [INFO] [SPLIT] KRW-BERA_label.parquet → KRW-BERA_train.parquet, shape=(90844, 44), dist={0: 62935, 1: 14157, -1: 13752}
2025-05-29 18:14:14,414 [INFO] [SPLIT] KRW-BERA_label.parquet → KRW-BERA_valid.parquet, shape=(25955, 44), dist={0: 18259, -1: 3919, 1: 3777}
2025-05-29 18:14:14,454 [INFO] [SPLIT] KRW-BERA_label.parquet → KRW-BERA_test.parquet, shape=(12979, 44), dist={0: 10834, -1: 1139, 1: 1006}
2025-05-29 18:14:14,696 [INFO] [SPLIT] KRW-CARV_label.parquet → KRW-CARV_train.parquet, shape=(90785, 44), dist={0: 60582, 1: 16682, -1: 13521}
2025-05-29 18:14:14,756 [INFO] [SPLIT] KRW-CARV_label.parquet → KRW-CARV_valid.parquet, shape=(25938, 44), dist={0: 19918, -1: 3197, 1: 2823}
2025-05-29 18:14:14,793 [INFO] [SPLIT] KRW-CARV_label.parquet → KRW-CARV_test.parquet, shape=(12970, 44), dist={0: 10865, 1: 1087, -1: 1018}
2025-05-29 18:14:15,015 [INFO] [SPLIT] KRW-COW_label.parquet → KRW-COW_train.parquet, shape=(90776, 44), dist={0: 68878, 1: 11194, -1: 10704}
2025-05-29 18:14:15,071 [INFO] [SPLIT] KRW-COW_label.parquet → KRW-COW_valid.parquet, shape=(25936, 44), dist={0: 19834, 1: 3186, -1: 2916}
2025-05-29 18:14:15,110 [INFO] [SPLIT] KRW-COW_label.parquet → KRW-COW_test.parquet, shape=(12968, 44), dist={0: 8784, 1: 2221, -1: 1963}
2025-05-29 18:14:15,335 [INFO] [SPLIT] KRW-DOT_label.parquet → KRW-DOT_train.parquet, shape=(90848, 44), dist={0: 81963, 1: 4506, -1: 4379}
2025-05-29 18:14:15,391 [INFO] [SPLIT] KRW-DOT_label.parquet → KRW-DOT_valid.parquet, shape=(25956, 44), dist={0: 23462, -1: 1270, 1: 1224}
2025-05-29 18:14:15,427 [INFO] [SPLIT] KRW-DOT_label.parquet → KRW-DOT_test.parquet, shape=(12980, 44), dist={0: 12308, -1: 360, 1: 312}
2025-05-29 18:14:15,655 [INFO] [SPLIT] KRW-DRIFT_label.parquet → KRW-DRIFT_train.parquet, shape=(90731, 44), dist={0: 68709, 1: 11495, -1: 10527}
2025-05-29 18:14:15,713 [INFO] [SPLIT] KRW-DRIFT_label.parquet → KRW-DRIFT_valid.parquet, shape=(25923, 44), dist={0: 19668, -1: 3131, 1: 3124}
2025-05-29 18:14:15,752 [INFO] [SPLIT] KRW-DRIFT_label.parquet → KRW-DRIFT_test.parquet, shape=(12963, 44), dist={0: 11364, 1: 802, -1: 797}
2025-05-29 18:14:15,958 [INFO] [SPLIT] KRW-EGLD_label.parquet → KRW-EGLD_train.parquet, shape=(90802, 44), dist={0: 77041, -1: 7168, 1: 6593}
2025-05-29 18:14:16,014 [INFO] [SPLIT] KRW-EGLD_label.parquet → KRW-EGLD_valid.parquet, shape=(25943, 44), dist={0: 21107, -1: 2516, 1: 2320}
2025-05-29 18:14:16,049 [INFO] [SPLIT] KRW-EGLD_label.parquet → KRW-EGLD_test.parquet, shape=(12973, 44), dist={0: 11824, -1: 621, 1: 528}
2025-05-29 18:14:16,260 [INFO] [SPLIT] KRW-EOS_label.parquet → KRW-EOS_train.parquet, shape=(90965, 44), dist={0: 70211, 1: 10607, -1: 10147}
2025-05-29 18:14:16,326 [INFO] [SPLIT] KRW-EOS_label.parquet → KRW-EOS_valid.parquet, shape=(25990, 44), dist={0: 19306, 1: 3371, -1: 3313}
2025-05-29 18:14:16,360 [INFO] [SPLIT] KRW-EOS_label.parquet → KRW-EOS_test.parquet, shape=(12996, 44), dist={0: 10206, 1: 1470, -1: 1320}
